bjd_tdb,flux_rel,flux_rel_err,exptime_s,filter
61026.281966162,0.63396437,0.03235818,1.0000044,g
61026.281977737,0.53740708,0.03007573,1.0000044,g
61026.281989312,0.61724196,0.03129769,1.0000044,g
61026.282000887,0.5764802,0.0306773,1.0000044,g
61026.282012462,0.55927097,0.0300696,1.0000044,g
61026.282024037,0.50136558,0.02856964,1.0000044,g
61026.282035611,0.54260379,0.0302502,1.0000044,g
61026.282047186,0.56394485,0.03004996,1.0000044,g
61026.282058761,0.54133959,0.02926093,1.0000044,g
61026.282070336,0.52945864,0.02852692,1.0000044,g
61026.282081911,0.52540222,0.02906686,1.0000044,g
61026.282093486,0.50173385,0.02853369,1.0000044,g
61026.282105061,0.60056323,0.03017843,1.0000044,g
61026.282116635,0.52877477,0.03011599,1.0000044,g
61026.28212821,0.57435986,0.03075622,1.0000044,g
61026.282139785,0.56921651,0.02967909,1.0000044,g
61026.28215136,0.55306538,0.03073311,1.0000044,g
61026.282162935,0.53604316,0.02905922,1.0000044,g
61026.28217451,0.54844192,0.02956588,1.0000044,g
61026.282186085,0.52021998,0.02865333,1.0000044,g
61026.28219766,0.51969823,0.02906251,1.0000044,g
61026.282209234,0.51617875,0.0294505,1.0000044,g
61026.282220809,0.52576954,0.02990813,1.0000044,g
61026.282232384,0.51322153,0.02863886,1.0000044,g
61026.282243959,0.5278876,0.03110446,1.0000044,g
61026.282255534,0.51000425,0.03010659,1.0000044,g
61026.282267109,0.49858785,0.02943087,1.0000044,g
61026.282278684,0.50524442,0.03077836,1.0000044,g
61026.282290258,0.58119507,0.03125747,1.0000044,g
61026.282301833,0.50788493,0.03012766,1.0000044,g
61026.282313408,0.53161641,0.03084445,1.0000044,g
